txn_id,timestamp,merchant_id,acquirer_id,amount,is_refund,is_chargeback
T50,2025-09-26T03:29:21.316172,M007,A1,25.76,0,0
T51,2025-09-26T06:26:58.316172,M007,A5,4.73,0,0
T52,2025-09-25T15:23:48.316172,M007,A3,18.93,0,0
T53,2025-09-26T08:40:01.316172,M008,A3,45.64,0,0
T54,2025-09-26T00:07:48.316172,M008,A5,17.87,1,0
T55,2025-09-26T03:45:26.316172,M008,A1,5.79,0,0
T56,2025-09-26T02:23:11.316172,M008,A2,19.74,0,0
T57,2025-09-25T16:28:10.316172,M008,A3,9.77,0,0
T58,2025-09-25T22:15:49.316172,M008,A2,28.79,0,0
T59,2025-09-26T00:53:27.316172,M008,A3,28.1,0,0
T60,2025-09-25T15:15:23.316172,M008,A1,11.42,0,0
T61,2025-09-26T10:44:59.316172,M008,A1,13.52,0,0
T62,2025-09-26T07:33:13.316172,M008,A5,40.67,0,0
T63,2025-09-26T09:15:23.316172,M008,A1,11.0,0,0
T64,2025-09-26T09:19:48.316172,M008,A1,70.42,0,0
T65,2025-09-25T23:45:20.316172,M008,A1,39.82,0,0
T66,2025-09-25T17:46:19.316172,M008,A3,11.91,0,1
T67,2025-09-26T12:27:01.316172,M008,A3,32.86,0,0
T68,2025-09-26T07:50:10.316172,M008,A2,33.88,0,0
T69,2025-09-26T05:41:35.316172,M009,A3,55.53,0,0
T70,2025-09-25T23:07:36.316172,M009,A5,11.55,0,0
T71,2025-09-26T07:56:53.316172,M009,A3,14.26,0,0
T72,2025-09-26T04:47:49.316172,M009,A2,21.72,0,0
T73,2025-09-26T02:03:08.316172,M009,A3,9.83,1,0
T74,2025-09-26T13:09:52.316172,M009,A2,34.37,0,0
T75,2025-09-26T13:20:22.316172,M009,A5,17.66,0,0
T76,2025-09-25T17:05:29.316172,M010,A5,8.77,0,0
T77,2025-09-26T11:30:14.316172,M010,A3,14.08,0,0
T78,2025-09-25T20:57:13.316172,M010,A1,18.32,0,0
T79,2025-09-25T19:31:46.316172,M010,A1,27.42,0,0
T80,2025-09-25T19:00:02.316172,M010,A3,17.69,0,0
T81,2025-09-26T10:23:24.316172,M010,A4,42.49,0,0
T82,2025-09-26T13:36:59.316172,M010,A2,12.6,0,0
T83,2025-09-26T11:30:23.316172,M010,A4,15.88,0,0
T84,2025-09-26T11:53:27.316172,M010,A3,33.81,0,0
T85,2025-09-25T14:59:44.316172,M010,A3,75.78,0,0
T86,2025-09-26T01:53:35.316172,M010,A1,37.68,0,0
T87,2025-09-26T09:00:45.316172,M010,A1,42.46,0,0
T88,2025-09-26T01:11:57.316172,M010,A2,19.75,0,0
T89,2025-09-26T00:09:14.316172,M010,A2,5.43,0,0
T90,2025-09-25T22:04:40.316172,M010,A1,5.77,0,0
T91,2025-09-26T04:31:56.316172,M010,A1,64.02,0,0
T92,2025-09-25T15:56:57.316172,M010,A1,11.94,0,0
T93,2025-09-25T15:56:25.316172,M010,A4,66.93,0,0
T94,2025-09-26T08:32:38.316172,M011,A4,7.89,0,0
T95,2025-09-26T07:40:13.316172,M011,A2,20.71,0,0
T96,2025-09-26T01:12:05.316172,M011,A5,27.75,0,0
T97,2025-09-26T03:59:15.316172,M011,A2,26.75,0,0
T98,2025-09-25T14:52:06.316172,M011,A5,23.49,0,0
T99,2025-09-26T12:17:07.316172,M011,A5,37.3,0,0
T100,2025-09-26T11:17:05.316172,M012,A1,42.84,0,0
T101,2025-09-25T18:04:04.316172,M012,A5,65.96,0,0
T102,2025-09-25T20:36:33.316172,M012,A4,4.53,0,0
T103,2025-09-26T01:59:15.316172,M012,A2,22.23,0,0
T104,2025-09-26T06:30:52.316172,M012,A4,33.97,0,0
T105,2025-09-25T22:32:37.316172,M012,A1,23.45,0,0
T106,2025-09-26T08:53:44.316172,M012,A2,33.31,0,0
T107,2025-09-26T07:52:02.316172,M012,A1,20.83,0,0
T108,2025-09-26T05:22:52.316172,M012,A3,6.22,0,0
T109,2025-09-25T20:27:21.316172,M012,A1,5.73,0,0
T110,2025-09-26T12:08:03.316172,M012,A2,46.0,0,0
T111,2025-09-26T14:16:43.316172,M012,A5,29.15,0,0
T112,2025-09-25T16:49:47.316172,M012,A1,29.97,0,0
T113,2025-09-25T20:25:32.316172,M012,A5,11.83,0,0
T114,2025-09-26T03:30:32.316172,M012,A3,34.56,0,0
T115,2025-09-26T14:01:40.316172,M012,A1,18.88,0,0
T116,2025-09-26T13:46:54.316172,M012,A1,8.44,0,0
T117,2025-09-26T10:24:02.316172,M013,A3,50.73,0,0
T118,2025-09-26T05:04:03.316172,M013,A1,13.96,0,0
T119,2025-09-26T06:32:29.316172,M013,A5,10.86,0,0
T120,2025-09-26T01:13:51.316172,M013,A3,15.9,0,0
T121,2025-09-26T11:38:25.316172,M013,A1,23.16,0,0
T122,2025-09-26T09:10:28.316172,M014,A5,11.89,0,0
T123,2025-09-25T19:19:56.316172,M014,A1,25.57,0,0
T124,2025-09-25T22:10:09.316172,M014,A3,27.47,0,0
T125,2025-09-25T23:59:28.316172,M014,A1,23.6,0,0
T126,2025-09-26T10:25:46.316172,M014,A1,14.36,0,0
T127,2025-09-26T14:18:20.316172,M014,A5,27.61,0,0
T128,2025-09-25T14:59:43.316172,M014,A2,44.23,0,0
T129,2025-09-26T04:52:28.316172,M014,A4,9.46,0,0
T130,2025-09-26T14:27:01.316172,M014,A4,20.6,0,0
T131,2025-09-26T10:47:52.316172,M014,A1,24.06,0,0
T132,2025-09-26T12:23:54.316172,M014,A3,16.4,0,0
T133,2025-09-26T11:55:34.316172,M014,A2,5.26,0,0
T134,2025-09-25T16:19:05.316172,M014,A5,16.48,0,0
T135,2025-09-26T07:09:02.316172,M015,A2,6.4,0,0
T136,2025-09-26T05:22:26.316172,M015,A4,4.73,0,0
T137,2025-09-26T11:33:50.316172,M015,A5,30.88,0,0
T138,2025-09-26T07:08:25.316172,M015,A5,13.05,0,0
T139,2025-09-26T12:58:26.316172,M015,A5,27.65,0,0
T140,2025-09-26T00:34:35.316172,M015,A2,15.93,0,0
T141,2025-09-26T00:48:00.316172,M015,A3,7.31,0,0
T142,2025-09-26T00:32:37.316172,M015,A3,24.08,0,0
T143,2025-09-26T12:18:09.316172,M015,A4,47.72,0,0
T144,2025-09-26T02:39:05.316172,M015,A4,17.72,1,0
T145,2025-09-26T01:27:38.316172,M016,A2,6.23,0,0
T146,2025-09-25T17:12:39.316172,M016,A1,54.34,0,0
T147,2025-09-25T18:31:21.316172,M016,A3,12.23,0,1
T148,2025-09-26T08:04:57.316172,M016,A2,41.3,0,0
T149,2025-09-25T22:34:45.316172,M016,A4,5.94,0,0
T150,2025-09-25T22:25:56.316172,M016,A1,28.4,0,0
T151,2025-09-26T09:23:02.316172,M016,A4,15.29,0,0
T152,2025-09-26T07:27:54.316172,M016,A1,5.9,0,0
T153,2025-09-26T07:14:19.316172,M016,A3,19.97,0,0
T154,2025-09-26T05:55:31.316172,M016,A2,31.56,0,0
T155,2025-09-26T13:32:22.316172,M016,A3,26.03,0,0
T156,2025-09-26T12:15:57.316172,M016,A5,11.19,0,0
T157,2025-09-26T00:03:13.316172,M016,A2,18.31,0,0
T158,2025-09-26T07:44:08.316172,M016,A4,11.95,0,0
T159,2025-09-25T15:21:15.316172,M017,A3,20.56,0,0
T160,2025-09-26T04:14:10.316172,M017,A4,5.46,0,0
T161,2025-09-25T20:33:17.316172,M017,A4,23.96,0,0
T162,2025-09-25T21:01:02.316172,M017,A2,19.6,0,0
T163,2025-09-25T19:19:35.316172,M017,A5,39.91,0,0
T164,2025-09-25T21:30:41.316172,M017,A3,44.18,0,0
T165,2025-09-26T08:44:11.316172,M017,A5,22.63,0,0
T166,2025-09-25T18:15:04.316172,M017,A1,19.28,0,0
T167,2025-09-25T18:50:30.316172,M017,A4,8.59,0,0
T168,2025-09-25T23:20:10.316172,M017,A4,7.12,0,0
T169,2025-09-26T04:27:31.316172,M017,A5,32.68,0,0
T170,2025-09-26T14:25:02.316172,M018,A3,6.5,0,0
T171,2025-09-25T19:56:47.316172,M018,A2,12.62,0,0
T172,2025-09-25T20:29:32.316172,M018,A1,20.64,0,0
T173,2025-09-26T10:07:06.316172,M018,A1,34.33,0,0
T174,2025-09-25T22:34:40.316172,M018,A2,17.54,0,0
T175,2025-09-25T16:29:52.316172,M018,A1,8.09,0,0
T176,2025-09-26T02:59:49.316172,M018,A3,27.79,0,0
T177,2025-09-25T17:25:01.316172,M018,A5,21.56,1,0
T178,2025-09-26T02:29:03.316172,M018,A5,25.64,0,0
T179,2025-09-25T17:57:14.316172,M018,A4,15.49,0,0
T180,2025-09-26T07:32:07.316172,M018,A3,34.99,0,0
T181,2025-09-26T02:41:39.316172,M018,A1,34.07,0,0
T182,2025-09-26T11:53:46.316172,M018,A2,69.03,0,0
T183,2025-09-26T12:54:33.316172,M018,A4,16.48,0,0
T184,2025-09-26T10:05:30.316172,M019,A3,14.19,0,0
T185,2025-09-26T06:49:46.316172,M019,A1,10.6,0,0
T186,2025-09-26T08:35:10.316172,M019,A4,10.06,0,0
T187,2025-09-25T18:27:09.316172,M019,A5,34.33,0,0
T188,2025-09-25T17:30:16.316172,M019,A4,41.06,0,0
T189,2025-09-26T13:44:48.316172,M019,A2,9.33,0,0
T190,2025-09-25T18:35:49.316172,M019,A4,22.21,0,0
T191,2025-09-25T23:46:49.316172,M019,A5,62.43,0,0
T192,2025-09-26T03:08:33.316172,M019,A4,9.45,0,0
T193,2025-09-26T01:32:53.316172,M019,A2,7.22,0,0
T194,2025-09-26T14:21:39.316172,M019,A2,39.01,0,0
T195,2025-09-26T09:19:11.316172,M019,A5,22.07,0,0
T196,2025-09-26T12:09:40.316172,M020,A1,17.49,0,0
T197,2025-09-25T23:54:04.316172,M020,A5,17.76,0,0
T198,2025-09-26T08:24:41.316172,M020,A5,7.23,0,0
T199,2025-09-25T21:12:21.316172,M020,A2,25.78,0,0
T200,2025-09-26T13:52:13.316172,M020,A3,27.77,0,0
T201,2025-09-26T03:56:18.316172,M020,A4,15.08,0,0
T202,2025-09-26T08:43:00.316172,M020,A3,22.17,0,0
T203,2025-09-26T09:46:50.316172,M020,A3,14.12,0,0
T204,2025-09-26T08:16:51.316172,M020,A5,23.93,0,0
T205,2025-09-26T07:22:04.316172,M020,A4,12.87,0,0
T206,2025-09-25T17:56:50.316172,M021,A2,17.8,0,0
T207,2025-09-26T04:39:38.316172,M021,A3,11.87,0,0
T208,2025-09-26T03:24:21.316172,M021,A1,38.88,0,0
T209,2025-09-26T08:47:59.316172,M021,A5,32.08,0,0
T210,2025-09-25T19:43:20.316172,M021,A2,50.67,0,0
T211,2025-09-25T21:38:11.316172,M021,A4,23.62,0,0
T212,2025-09-26T08:20:42.316172,M021,A3,28.69,0,0
T213,2025-09-25T16:25:14.316172,M021,A5,10.99,0,0
T214,2025-09-25T14:49:36.316172,M021,A5,8.32,0,0
T215,2025-09-26T08:47:53.316172,M021,A1,74.73,0,0
T216,2025-09-25T21:03:57.316172,M022,A3,21.25,0,0
T217,2025-09-26T07:52:31.316172,M022,A2,12.76,0,0
T218,2025-09-26T14:19:15.316172,M022,A3,31.6,0,0
T219,2025-09-26T00:25:56.316172,M022,A4,38.78,0,0
T220,2025-09-26T02:33:10.316172,M022,A2,8.01,0,0
T221,2025-09-25T21:43:33.316172,M022,A4,22.2,0,0
T222,2025-09-26T09:00:10.316172,M023,A5,21.13,0,0
T223,2025-09-26T06:47:35.316172,M023,A2,7.06,0,0
T224,2025-09-26T13:41:09.316172,M023,A4,8.26,0,0
T225,2025-09-26T07:36:53.316172,M023,A5,7.38,0,0
T226,2025-09-25T15:18:32.316172,M023,A4,44.63,0,0
T227,2025-09-26T09:35:24.316172,M023,A3,23.06,0,0
T228,2025-09-25T15:21:30.316172,M023,A4,19.89,0,0
T229,2025-09-26T01:05:04.316172,M024,A2,37.15,0,0
T230,2025-09-26T12:07:57.316172,M024,A5,6.51,0,0
T231,2025-09-25T21:56:08.316172,M024,A5,36.28,0,0
T232,2025-09-26T04:06:29.316172,M024,A1,14.55,0,0
T233,2025-09-25T18:53:37.316172,M024,A1,43.67,0,0
T234,2025-09-26T05:41:55.316172,M024,A2,30.69,0,0
T235,2025-09-26T13:29:01.316172,M024,A5,17.99,0,0
T236,2025-09-26T10:56:07.316172,M024,A3,28.69,0,0
T237,2025-09-26T11:54:46.316172,M024,A4,54.8,0,0
T238,2025-09-25T17:55:50.316172,M024,A1,15.68,0,0
T239,2025-09-26T05:36:59.316172,M024,A1,15.31,0,0
T240,2025-09-25T17:35:42.316172,M024,A4,12.19,0,0
T241,2025-09-26T00:40:58.316172,M024,A5,43.53,0,0
T242,2025-09-25T23:47:46.316172,M024,A3,7.73,0,1
T243,2025-09-26T06:12:48.316172,M024,A5,17.42,0,0
T244,2025-09-25T22:35:14.316172,M024,A5,14.55,0,0
T245,2025-09-25T23:06:18.316172,M024,A2,6.71,0,0
T246,2025-09-26T01:15:05.316172,M025,A1,8.46,0,0
T247,2025-09-25T22:53:03.316172,M025,A3,17.58,0,0
T248,2025-09-25T23:47:46.316172,M025,A3,32.32,0,0
T249,2025-09-25T20:45:14.316172,M025,A4,40.36,0,0
T250,2025-09-25T22:16:51.316172,M025,A3,12.27,0,0
T251,2025-09-26T00:03:00.316172,M025,A4,16.66,0,0
T252,2025-09-25T22:51:14.316172,M025,A2,74.17,0,0
T253,2025-09-26T10:05:44.316172,M025,A1,35.81,0,0
T254,2025-09-25T16:28:05.316172,M025,A1,10.48,0,0
T255,2025-09-26T13:17:46.316172,M025,A3,64.94,0,0
T256,2025-09-25T14:46:54.316172,M025,A4,47.98,0,0
T257,2025-09-26T13:15:21.316172,M025,A2,28.31,0,0
T258,2025-09-26T06:54:06.316172,M026,A2,14.3,0,0
T259,2025-09-25T20:22:15.316172,M026,A4,48.68,0,0
T260,2025-09-26T05:56:04.316172,M026,A4,18.06,0,0
T261,2025-09-26T02:32:17.316172,M026,A3,26.5,0,0
T262,2025-09-26T12:56:51.316172,M026,A5,23.96,0,0
T263,2025-09-25T16:44:51.316172,M026,A3,72.81,0,0
T264,2025-09-25T23:37:00.316172,M026,A1,40.78,0,0
T265,2025-09-26T06:16:38.316172,M026,A3,100.89,0,0
T266,2025-09-26T14:36:31.316172,M026,A3,12.57,0,0
T267,2025-09-25T17:51:32.316172,M026,A2,29.32,0,0
T268,2025-09-26T01:37:25.316172,M026,A4,109.35,0,0
T269,2025-09-26T04:06:14.316172,M026,A1,6.97,0,0
T270,2025-09-26T12:52:28.316172,M026,A5,23.07,0,0
T271,2025-09-25T20:18:13.316172,M026,A4,24.69,0,0
T272,2025-09-26T10:08:50.316172,M026,A4,36.19,0,0
T273,2025-09-26T14:01:24.316172,M026,A2,23.44,0,0
T274,2025-09-25T20:57:02.316172,M026,A3,7.68,0,0
T275,2025-09-25T21:40:08.316172,M026,A4,30.15,0,0
T276,2025-09-26T03:35:39.316172,M026,A5,10.97,0,0
T277,2025-09-26T09:11:20.316172,M027,A3,27.49,0,0
T278,2025-09-26T12:02:05.316172,M027,A4,19.91,0,0
T279,2025-09-26T08:24:12.316172,M027,A1,22.61,1,0
T280,2025-09-26T05:27:05.316172,M027,A4,18.3,0,0
T281,2025-09-26T04:31:40.316172,M027,A2,31.25,0,0
T282,2025-09-25T19:54:13.316172,M027,A2,9.13,0,0
T283,2025-09-26T12:48:04.316172,M027,A5,10.22,0,0
T284,2025-09-25T16:18:58.316172,M027,A3,30.4,0,0
T285,2025-09-26T13:54:57.316172,M027,A1,44.5,0,0
T286,2025-09-26T12:15:17.316172,M027,A5,9.36,0,0
T287,2025-09-26T07:54:23.316172,M027,A5,11.72,0,0
T288,2025-09-26T02:17:35.316172,M027,A3,21.53,0,0
T289,2025-09-25T22:45:30.316172,M027,A4,29.25,0,0
T290,2025-09-26T04:56:42.316172,M027,A2,25.2,0,0
T291,2025-09-25T17:36:33.316172,M027,A2,23.67,0,0
T292,2025-09-25T23:53:09.316172,M027,A3,17.68,0,0
T293,2025-09-25T17:03:05.316172,M027,A2,17.9,0,0
T294,2025-09-25T18:20:58.316172,M027,A5,9.0,0,0
T295,2025-09-26T02:20:59.316172,M028,A4,26.39,0,0
T296,2025-09-25T15:31:03.316172,M028,A1,25.45,0,0
T297,2025-09-26T01:28:13.316172,M028,A1,10.58,0,0
T298,2025-09-26T10:35:11.316172,M028,A1,5.34,0,0
T299,2025-09-26T13:46:56.316172,M028,A1,83.37,0,0
T300,2025-09-26T14:08:18.316172,M028,A5,28.55,0,0
T301,2025-09-26T08:45:34.316172,M029,A3,11.25,0,0
T302,2025-09-26T03:24:11.316172,M029,A2,11.2,0,0
T303,2025-09-26T08:08:43.316172,M029,A3,23.56,1,0
T304,2025-09-26T05:53:36.316172,M029,A2,5.63,0,0
T305,2025-09-25T16:24:53.316172,M029,A3,18.43,0,0
T306,2025-09-25T17:10:46.316172,M029,A4,29.6,0,0
T307,2025-09-26T13:55:46.316172,M029,A2,62.73,0,0
T308,2025-09-25T18:36:02.316172,M029,A5,21.34,0,0
T309,2025-09-26T03:03:56.316172,M029,A4,12.54,0,0
T310,2025-09-25T15:43:41.316172,M029,A3,40.83,0,0
T311,2025-09-25T16:38:27.316172,M029,A2,13.66,0,0
T312,2025-09-26T02:25:35.316172,M029,A3,34.74,0,0
T313,2025-09-26T02:49:29.316172,M029,A1,13.59,0,0
T314,2025-09-26T02:45:07.316172,M029,A3,25.27,0,0
T315,2025-09-25T19:39:51.316172,M029,A4,11.88,0,0
T316,2025-09-26T07:31:13.316172,M029,A3,8.98,0,0
T317,2025-09-26T08:29:43.316172,M030,A3,26.01,0,0
T318,2025-09-26T05:20:00.316172,M030,A4,28.18,0,0
T319,2025-09-26T04:32:25.316172,M030,A1,10.28,0,0
T320,2025-09-26T03:49:20.316172,M030,A3,16.06,0,0
T321,2025-09-25T17:55:50.316172,M030,A1,21.08,0,0
T322,2025-09-26T08:13:52.316172,M030,A4,9.94,0,0
T323,2025-09-25T19:58:43.316172,M030,A2,34.57,0,0
T324,2025-09-26T02:51:07.316172,M030,A1,14.5,0,0
T325,2025-09-26T07:56:11.316172,M030,A5,9.64,0,0
T326,2025-09-26T04:45:46.316172,M030,A4,29.55,0,0
T327,2025-09-26T07:47:32.316172,M030,A3,8.56,0,0
T328,2025-09-25T21:30:51.316172,M030,A1,14.47,0,0
T329,2025-09-26T12:04:55.316172,M031,A1,19.69,0,0
T330,2025-09-26T06:29:33.316172,M031,A2,11.79,0,0
T331,2025-09-25T18:05:42.316172,M031,A2,34.49,0,0
T332,2025-09-26T09:44:39.316172,M031,A3,45.83,0,0
T333,2025-09-25T16:49:48.316172,M031,A4,4.22,0,0
T334,2025-09-26T14:36:37.316172,M031,A2,8.58,0,0
T335,2025-09-26T03:00:37.316172,M031,A3,36.31,0,0
T336,2025-09-25T15:03:41.316172,M031,A1,36.08,0,0
T337,2025-09-25T17:54:58.316172,M031,A2,14.98,0,0
T338,2025-09-25T20:19:45.316172,M031,A2,24.47,0,0
T339,2025-09-26T02:07:42.316172,M031,A5,20.8,0,0
T340,2025-09-26T09:40:58.316172,M031,A4,23.6,0,0
T341,2025-09-26T07:51:46.316172,M031,A1,25.66,0,0
T342,2025-09-26T03:43:15.316172,M031,A5,43.61,0,0
T343,2025-09-26T00:45:40.316172,M031,A5,13.76,0,0
T344,2025-09-26T08:37:36.316172,M031,A2,17.73,0,0
T345,2025-09-26T13:43:11.316172,M031,A1,25.57,0,0
T346,2025-09-26T02:22:03.316172,M032,A4,27.04,0,0
T347,2025-09-26T10:57:50.316172,M032,A4,11.44,0,0
T348,2025-09-26T10:26:14.316172,M032,A1,37.48,0,0
T349,2025-09-26T00:47:29.316172,M032,A2,11.4,0,0
T350,2025-09-26T13:23:40.316172,M032,A5,32.4,0,0
T351,2025-09-25T20:34:37.316172,M032,A5,6.1,0,0
T352,2025-09-26T01:51:16.316172,M032,A5,15.54,0,0
T353,2025-09-25T22:20:13.316172,M032,A4,11.57,0,0
T354,2025-09-26T13:05:14.316172,M033,A3,5.62,0,0
T355,2025-09-26T11:37:04.316172,M033,A2,27.67,0,0
T356,2025-09-26T07:02:39.316172,M033,A3,13.24,0,0
T357,2025-09-26T05:10:51.316172,M033,A1,18.5,0,0
T358,2025-09-25T21:17:39.316172,M033,A3,19.43,0,0
T359,2025-09-26T06:00:30.316172,M033,A5,18.08,0,0
T360,2025-09-26T12:36:34.316172,M033,A3,20.03,0,0
T361,2025-09-26T09:11:34.316172,M033,A1,14.34,0,0
T362,2025-09-26T10:00:32.316172,M033,A3,29.12,0,0
T363,2025-09-26T04:00:56.316172,M033,A3,28.79,0,0
T364,2025-09-26T03:44:27.316172,M033,A5,113.0,0,0
T365,2025-09-26T09:40:03.316172,M034,A1,22.41,0,0
T366,2025-09-25T23:19:17.316172,M034,A1,13.65,0,0
T367,2025-09-26T00:46:53.316172,M034,A5,8.45,0,0
T368,2025-09-25T15:40:55.316172,M034,A4,32.11,0,0
T369,2025-09-25T18:15:36.316172,M034,A3,27.16,0,0
T370,2025-09-25T19:01:37.316172,M035,A5,20.81,0,0
T371,2025-09-26T07:58:46.316172,M035,A4,73.4,0,0
T372,2025-09-26T05:41:31.316172,M035,A2,9.4,0,0
T373,2025-09-26T08:47:09.316172,M035,A3,10.16,0,0
T374,2025-09-25T18:57:59.316172,M035,A5,5.48,0,0
T375,2025-09-25T20:56:08.316172,M035,A4,12.43,0,0
T376,2025-09-26T08:16:30.316172,M035,A1,17.59,0,0
T377,2025-09-26T14:00:50.316172,M035,A4,74.04,0,0
T378,2025-09-25T21:04:14.316172,M035,A3,14.61,0,0
T379,2025-09-26T10:53:34.316172,M036,A2,5.46,0,0
T380,2025-09-25T15:25:02.316172,M036,A3,16.07,0,0
T381,2025-09-26T04:08:15.316172,M036,A3,29.49,0,0
T382,2025-09-26T09:18:24.316172,M036,A2,9.86,0,0
T383,2025-09-25T17:20:11.316172,M036,A5,23.86,0,0
T384,2025-09-26T03:51:59.316172,M036,A4,20.98,0,0
T385,2025-09-25T18:18:24.316172,M036,A5,23.18,0,0
T386,2025-09-25T22:41:58.316172,M036,A3,8.52,0,0
T387,2025-09-25T18:36:30.316172,M036,A5,22.63,0,0
T388,2025-09-25T21:17:57.316172,M036,A1,13.31,0,0
T389,2025-09-25T20:31:07.316172,M037,A3,48.6,0,0
T390,2025-09-26T12:40:21.316172,M037,A2,7.6,0,0
T391,2025-09-26T11:19:26.316172,M037,A2,19.49,0,0
T392,2025-09-25T20:46:35.316172,M037,A4,14.86,0,0
T393,2025-09-26T12:18:34.316172,M037,A3,33.59,0,0
T394,2025-09-26T10:35:12.316172,M037,A3,25.11,0,0
T395,2025-09-25T23:24:20.316172,M037,A5,16.53,0,0
T396,2025-09-25T23:26:02.316172,M037,A2,39.67,0,0
T397,2025-09-25T23:09:14.316172,M037,A2,12.55,0,0
T398,2025-09-26T07:17:49.316172,M037,A2,38.42,0,0
T399,2025-09-26T13:39:27.316172,M037,A5,8.26,1,0
T400,2025-09-25T17:21:02.316172,M037,A5,31.93,0,0
T401,2025-09-25T21:42:14.316172,M037,A3,35.91,0,0
T402,2025-09-26T11:34:47.316172,M038,A4,9.06,0,0
T403,2025-09-25T18:25:53.316172,M038,A4,3.62,0,0
T404,2025-09-25T18:53:22.316172,M038,A2,11.32,0,0
T405,2025-09-26T03:17:04.316172,M038,A2,19.83,0,0
T406,2025-09-26T01:52:32.316172,M038,A5,6.21,0,0
T407,2025-09-26T00:58:34.316172,M038,A2,44.71,0,0
T408,2025-09-26T04:32:13.316172,M038,A1,36.12,0,0
T409,2025-09-26T09:08:06.316172,M038,A1,10.91,0,0
T410,2025-09-25T18:05:16.316172,M038,A2,3.43,0,0
T411,2025-09-26T03:17:52.316172,M038,A4,16.47,0,0
T412,2025-09-25T14:56:35.316172,M038,A3,33.22,0,0
T413,2025-09-26T00:21:28.316172,M038,A2,17.17,0,0
T414,2025-09-26T10:20:32.316172,M038,A4,4.67,0,0
T415,2025-09-25T15:09:57.316172,M038,A1,13.46,0,0
T416,2025-09-25T16:18:35.316172,M039,A4,16.6,0,0
T417,2025-09-25T16:15:11.316172,M039,A4,25.64,0,0
T418,2025-09-25T23:06:16.316172,M039,A5,7.7,0,0
T419,2025-09-26T09:56:36.316172,M039,A4,16.23,0,0
T420,2025-09-26T11:54:35.316172,M039,A1,22.23,0,0
T421,2025-09-26T11:08:31.316172,M039,A4,24.7,0,0
