account_id,ym,ending_balance
A000028,2025-06,12675.99
A000028,2025-07,12539.59
A000028,2025-08,17010.42
A000028,2025-09,16774.91
A000028,2025-10,16733.58
A000029,2024-05,-100.39
A000029,2024-06,1952.62
A000029,2024-07,1719.1
A000029,2024-08,3589.86
A000029,2024-09,3488.98
A000029,2024-10,3263.59
A000029,2024-11,3203.03
A000029,2024-12,2993.72
A000029,2025-01,2876.99
A000029,2025-02,2794.31
A000029,2025-03,2596.01
A000029,2025-04,2471.88
A000029,2025-05,4239.86
A000029,2025-06,3553.53
A000029,2025-07,3449.59
A000029,2025-08,3453.24
A000029,2025-09,2891.86
A000029,2025-10,2399.05
A000030,2023-05,1198.69
A000030,2023-06,1145.0
A000030,2023-07,3395.24
A000030,2023-08,3282.77
A000030,2023-09,4234.21
A000030,2023-10,3935.92
A000030,2023-11,3325.44
A000030,2023-12,3077.46
A000030,2024-01,4188.23
A000030,2024-02,4080.38
A000030,2024-03,3909.5
A000030,2024-04,3913.83
A000030,2024-05,3785.96
A000030,2024-07,3546.24
A000030,2024-08,3288.46
A000030,2024-09,2517.26
A000030,2024-10,2548.34
A000030,2024-11,2199.91
A000030,2024-12,4596.45
A000030,2025-01,4558.97
A000030,2025-02,4165.57
A000030,2025-03,6747.17
A000030,2025-04,8786.23
A000030,2025-05,8737.78
A000030,2025-06,9778.41
A000030,2025-07,8798.46
A000030,2025-08,10430.12
A000030,2025-09,12132.37
A000030,2025-10,11948.78
A000031,2024-12,-289.96
A000031,2025-01,-634.15
A000031,2025-02,-1672.46
A000031,2025-03,-2655.15
A000031,2025-04,789.8
A000031,2025-05,-684.98
A000031,2025-06,1141.78
A000031,2025-07,5158.91
A000031,2025-08,4458.93
A000031,2025-09,3460.37
A000031,2025-10,3016.49
A000032,2024-12,-96.57
A000032,2025-01,-93.78
A000032,2025-02,-106.56
A000032,2025-03,-264.31
A000032,2025-04,-274.91
A000032,2025-05,-333.5
A000032,2025-06,1268.82
A000032,2025-07,1128.3
A000032,2025-09,1097.75
A000032,2025-10,1075.34
A000033,2023-05,-50.94
A000033,2023-06,-143.33
A000033,2023-07,-247.63
A000033,2023-08,4661.51
A000033,2023-09,4572.4
A000033,2023-11,6434.07
A000033,2023-12,5961.92
A000033,2024-01,8688.63
A000033,2024-03,8604.09
A000033,2024-04,8596.12
A000033,2024-05,8543.83
A000033,2024-06,8494.58
A000033,2024-07,8373.48
A000033,2024-09,8192.52
A000033,2024-10,10691.46
A000033,2024-11,10512.5
A000033,2024-12,10401.33
A000033,2025-01,11945.04
A000033,2025-03,11763.96
A000033,2025-04,11721.79
A000033,2025-05,11737.84
A000033,2025-07,11681.42
A000033,2025-08,11539.03
A000034,2023-12,-147.85
A000034,2024-01,-77.9
A000034,2024-02,-244.02
A000034,2024-03,-265.73
A000034,2024-04,-373.54
A000034,2024-05,-640.55
A000034,2024-06,-871.71
A000034,2024-07,-1490.79
A000034,2024-08,-2044.33
A000034,2024-09,274.56
A000034,2024-10,22.41
A000034,2024-11,1292.24
A000034,2024-12,1202.49
A000034,2025-01,3765.76
A000034,2025-02,4736.11
A000034,2025-03,6864.14
A000034,2025-04,9026.9
A000034,2025-05,8816.0
A000034,2025-06,8671.71
A000034,2025-07,8171.93
A000034,2025-08,10567.76
A000034,2025-09,10104.81
A000034,2025-10,12167.2
A000035,2024-09,-3.95
A000035,2024-10,-57.85
A000035,2025-02,-225.95
A000035,2025-03,-240.95
A000035,2025-06,-308.74
A000035,2025-07,-410.22
A000036,2022-10,1635.84
A000036,2023-01,1489.51
A000036,2023-02,1198.42
A000036,2023-05,1146.14
A000036,2024-01,3662.7
A000036,2024-02,3566.34
A000036,2024-03,3525.15
A000036,2024-07,3258.51
A000036,2024-09,3246.43
A000036,2024-10,3125.17
A000036,2024-12,3107.12
A000036,2025-02,3023.14
A000036,2025-04,2932.02
A000036,2025-05,3127.93
A000036,2025-06,3042.36
A000036,2025-08,2998.57
A000036,2025-09,2966.77
A000037,2024-08,1562.41
A000037,2024-09,1087.54
A000037,2024-10,3084.56
A000037,2024-11,5775.86
A000037,2024-12,5402.71
A000037,2025-01,5555.18
A000037,2025-02,5391.12
A000037,2025-03,5140.86
A000037,2025-04,8745.64
A000037,2025-05,12099.89
A000037,2025-06,11464.3
A000037,2025-07,10938.48
A000037,2025-08,15615.49
A000037,2025-09,14815.06
A000037,2025-10,14764.72
A000038,2024-09,-10.55
A000038,2025-01,-44.38
A000039,2023-11,-94.08
A000039,2023-12,-765.69
A000039,2024-01,-982.47
A000039,2024-02,-1260.42
A000039,2024-03,1423.22
A000039,2024-04,1341.82
A000039,2024-05,1081.26
A000039,2024-06,1012.08
A000039,2024-07,442.44
A000039,2024-08,-82.3
A000039,2024-10,-41.67
A000039,2024-11,-161.53
A000039,2024-12,-244.34
A000039,2025-01,2636.09
A000039,2025-02,2116.04
A000039,2025-03,1843.8
A000039,2025-04,1676.91
A000039,2025-05,2674.65
A000039,2025-06,2519.73
A000039,2025-07,2497.8
A000039,2025-08,2013.5
A000039,2025-09,1497.1
A000040,2024-08,-88.71
A000040,2024-09,-829.66
A000040,2024-10,-983.91
A000040,2024-11,910.94
A000040,2024-12,927.62
A000040,2025-01,788.53
A000040,2025-02,535.22
A000040,2025-03,389.01
A000040,2025-04,161.73
A000040,2025-05,64.94
A000040,2025-06,-861.49
A000040,2025-07,-920.36
A000040,2025-08,-1034.9
A000040,2025-09,-1134.78
A000040,2025-10,-1447.08
A000041,2023-07,-105.74
A000041,2023-09,-325.32
A000041,2023-10,1412.57
A000041,2023-11,3505.33
A000041,2023-12,3442.66
A000041,2024-02,3333.87
A000041,2024-04,3324.22
A000041,2024-05,3330.61
A000041,2024-08,3296.17
A000041,2024-10,2665.61
A000041,2024-11,2309.02
A000041,2024-12,2249.04
A000041,2025-01,4712.1
A000041,2025-02,4532.18
A000041,2025-04,4455.97
A000041,2025-05,4319.65
A000041,2025-07,4817.57
A000041,2025-09,4750.06
A000042,2024-04,-44.11
A000042,2024-05,-121.35
A000042,2024-06,2420.63
A000042,2024-07,2360.31
A000042,2024-08,2209.11
A000042,2024-09,2156.85
A000042,2024-11,2056.4
A000042,2024-12,1719.71
A000042,2025-02,1485.64
A000042,2025-04,1508.57
A000042,2025-06,3655.59
A000042,2025-08,3408.86
A000042,2025-09,3331.69
A000042,2025-10,5173.47
A000043,2024-04,-169.59
A000043,2024-05,-522.12
A000043,2024-06,-861.62
A000043,2024-07,-1069.68
A000043,2024-08,-1875.32
A000043,2024-09,-1862.64
A000043,2024-10,-2136.11
A000043,2024-11,-2330.36
A000043,2024-12,-2407.6
A000043,2025-01,-1143.68
A000043,2025-02,2231.79
A000043,2025-03,2147.57
A000043,2025-04,2006.65
A000043,2025-05,3618.98
A000043,2025-06,5494.92
A000043,2025-07,7138.78
A000043,2025-08,9696.76
A000043,2025-09,9524.67
A000044,2025-03,1107.6
A000044,2025-04,6745.18
A000044,2025-05,7759.71
A000044,2025-06,5988.78
A000044,2025-07,8031.52
A000044,2025-08,10905.11
A000044,2025-09,15381.62
A000044,2025-10,15208.1
A000045,2023-10,-37.28
A000045,2023-11,-125.93
A000045,2023-12,-75.94
A000045,2024-01,-167.67
A000045,2024-02,2755.09
A000045,2024-03,2628.38
A000045,2024-04,2545.26
A000045,2024-05,2427.39
A000045,2024-06,4238.11
A000045,2024-07,4152.02
A000045,2024-08,3894.58
A000045,2024-09,3524.22
A000045,2024-10,3256.64
A000045,2024-11,3238.08
A000045,2024-12,3049.12
A000045,2025-01,4819.81
A000045,2025-02,4443.93
A000045,2025-03,4340.83
A000045,2025-04,4252.27
A000045,2025-05,6366.94
A000045,2025-06,6314.85
A000045,2025-07,6237.42
A000045,2025-08,6108.84
A000045,2025-09,6012.96
A000046,2022-09,-20.41
A000046,2023-02,-141.88
A000046,2023-10,2737.07
A000046,2024-04,2722.5
A000046,2025-03,2685.12
A000046,2025-05,2594.91
A000047,2022-02,-49.87
A000047,2022-03,-121.35
A000047,2022-04,-187.02
A000047,2022-06,-468.93
A000047,2022-07,-489.34
A000047,2022-08,-601.38
A000047,2022-09,-579.46
A000047,2022-12,-638.59
A000047,2023-03,-703.85
A000047,2023-04,-841.87
A000047,2023-05,-851.52
A000047,2023-06,-1492.08
A000047,2023-07,-1650.69
A000047,2023-08,-1367.18
A000047,2023-09,-1429.78
A000047,2023-10,-1725.63
A000047,2024-01,-1758.11
A000047,2024-03,-1776.39
A000047,2024-04,-1832.36
A000047,2024-05,-1910.72
A000047,2024-06,-2081.44
A000047,2024-07,-2671.12
A000047,2024-08,-2837.83
A000047,2024-10,-2826.5
A000047,2024-11,-2773.51
A000047,2025-02,-2810.48
A000047,2025-03,-149.79
A000047,2025-04,-192.38
A000047,2025-05,-297.1
A000047,2025-06,-359.96
A000047,2025-07,-402.9
A000048,2024-05,4249.99
A000048,2024-06,5773.63
A000048,2024-07,10276.37
A000048,2024-08,9500.86
A000048,2024-09,10350.76
A000048,2024-10,11641.45
A000048,2024-11,14156.99
A000048,2024-12,15443.52
A000048,2025-01,17248.74
A000048,2025-02,16763.9
A000048,2025-03,18306.38
A000048,2025-04,20510.49
A000048,2025-05,20380.09
A000048,2025-06,20208.32
A000048,2025-07,19751.48
A000048,2025-08,21310.5
A000048,2025-09,23972.88
A000048,2025-10,25459.51
A000049,2022-06,-606.2
A000049,2022-07,-879.13
A000049,2022-08,-1061.5
A000049,2022-09,-1413.89
A000049,2022-11,-1524.79
A000049,2022-12,-1594.38
A000049,2023-01,206.26
A000049,2023-02,2697.96
A000049,2023-03,2662.31
A000049,2023-04,2577.01
A000049,2023-05,2529.93
A000049,2023-06,2281.6
A000049,2023-07,2225.79
A000049,2023-08,2475.12
A000049,2023-09,2375.31
A000049,2023-12,4860.55
A000049,2024-01,9110.08
A000049,2024-03,9086.81
A000049,2024-04,8980.38
A000049,2024-05,7783.58
A000049,2024-06,7677.55
A000049,2024-07,7721.6
A000049,2024-09,7655.17
A000049,2024-10,7667.85
A000049,2024-11,7536.75
A000049,2024-12,7493.98
A000049,2025-02,7443.74
A000049,2025-03,7447.01
A000049,2025-04,6817.98
A000049,2025-05,8870.35
A000049,2025-06,8851.36
A000049,2025-07,8829.73
A000049,2025-08,10152.79
A000049,2025-09,10159.15
A000049,2025-10,10128.44
A000050,2023-01,-21.9
A000050,2023-02,-125.52
A000050,2023-03,-200.94
A000050,2023-05,-350.54
A000050,2023-07,-380.06
A000050,2023-08,-382.58
A000050,2023-09,-665.1
A000050,2023-10,-764.52
A000050,2023-11,-861.78
A000050,2023-12,-1013.67
A000050,2024-02,-1077.56
A000050,2024-04,-1087.92
A000050,2024-05,-1123.24
A000050,2024-06,-1516.86
A000050,2024-07,1479.57
A000050,2024-08,3202.99
A000050,2024-09,3088.18
A000050,2024-11,2779.54
A000050,2024-12,6498.69
A000050,2025-02,6461.59
A000050,2025-04,6248.11
A000050,2025-05,6399.01
A000050,2025-06,6349.85
A000050,2025-07,5912.37
A000050,2025-08,5782.36
A000050,2025-09,5529.95
A000051,2023-09,26.28
A000051,2023-10,5953.46
A000051,2023-11,6016.83
A000051,2023-12,5879.68
A000051,2024-01,5806.5
A000051,2024-02,5796.71
A000051,2024-03,8026.76
A000051,2024-04,8023.56
A000051,2024-05,7999.79
A000051,2024-06,7988.74
A000051,2024-07,7959.93
A000051,2024-09,9372.91
A000051,2024-11,9130.95
A000051,2025-01,9107.72
A000051,2025-02,10596.56
A000051,2025-03,10535.32
A000051,2025-04,9252.54
A000051,2025-05,9189.2
A000051,2025-06,8765.1
A000051,2025-07,8618.63
A000051,2025-09,8476.94
A000052,2023-09,-62.65
A000052,2023-11,-89.86
A000052,2024-04,1691.23
A000052,2024-08,1447.32
A000052,2024-11,1407.03
A000052,2024-12,1389.27
A000052,2025-05,1336.57
A000053,2023-08,-61.87
A000053,2023-09,-152.97
A000053,2023-10,-214.99
A000053,2023-11,-367.29
A000053,2023-12,1845.43
A000053,2024-01,1721.9
A000053,2024-03,1709.03
A000053,2024-06,1576.68
A000053,2024-07,1143.1
A000053,2024-08,1069.69
A000053,2024-10,680.82
A000053,2024-11,466.29
A000053,2024-12,2225.15
A000053,2025-01,2221.34
A000053,2025-02,2230.0
A000053,2025-03,3671.54
A000053,2025-04,3540.73
A000053,2025-05,3381.4
A000053,2025-06,3376.4
A000053,2025-08,3361.28
A000053,2025-09,3316.31
A000053,2025-10,3160.89
A000054,2022-11,1248.21
A000054,2022-12,1194.16
A000054,2023-01,2193.87
A000054,2023-02,2043.23
A000054,2023-03,1960.81
A000054,2023-04,1869.28
A000054,2023-05,1611.56
A000054,2023-06,1660.55
A000054,2023-07,1650.55
A000054,2023-08,1502.74
A000054,2023-09,1503.52
A000054,2023-10,924.77
A000054,2023-11,1906.27
A000054,2023-12,1594.51
A000054,2024-01,3493.18
A000054,2024-02,5812.42
A000054,2024-03,5682.13
A000054,2024-04,5152.9
A000054,2024-05,5142.56
A000054,2024-06,5016.59
A000054,2024-07,4809.55
A000054,2024-08,4767.1
A000054,2024-09,4697.63
A000054,2024-10,7708.57
A000054,2024-11,7499.15
A000054,2024-12,7629.8
A000054,2025-01,7488.82
A000054,2025-02,7383.28
A000054,2025-03,7348.51
A000054,2025-04,6953.65
A000054,2025-05,6588.38
A000054,2025-06,8276.97
A000054,2025-07,8251.02
A000054,2025-08,7960.36
A000054,2025-09,7965.6
A000055,2022-06,2785.19
A000055,2022-11,2660.43
A000055,2023-10,2532.22
A000055,2024-01,2473.33
A000055,2024-04,2464.2
A000055,2024-11,2329.23
A000056,2022-08,-46.57
A000056,2022-09,-349.99
A000056,2022-10,1338.11
A000056,2022-11,1321.39
A000056,2023-01,1231.9
A000056,2023-02,442.56
A000056,2023-03,337.64
A000056,2023-05,-92.42
A000056,2023-06,-145.83
A000056,2023-08,-192.87
A000056,2023-09,-278.74
A000056,2023-10,-414.46
A000056,2023-11,-449.38
A000056,2023-12,-587.55
A000056,2024-01,-749.7
A000056,2024-03,-800.52
A000056,2024-04,-856.63
A000056,2024-05,-980.59
A000056,2024-07,926.99
A000056,2024-08,834.99
A000056,2024-09,814.51
A000056,2024-10,767.37
A000056,2024-12,733.79
A000056,2025-01,529.19
A000056,2025-02,1898.86
A000056,2025-03,1639.03
A000056,2025-04,1915.05
A000056,2025-05,1896.46
A000056,2025-06,1823.31
A000056,2025-07,2127.07
A000056,2025-08,1364.1
A000056,2025-09,165.06
A000057,2022-09,-129.35
A000057,2022-10,-616.32
A000057,2022-11,-642.95
A000057,2022-12,-643.29
A000057,2023-01,-714.53
A000057,2023-02,-909.47
A000057,2023-04,-1109.32
A000057,2023-05,-1235.68
A000057,2023-06,668.88
A000057,2023-08,567.57
A000057,2023-09,514.98
A000057,2023-11,468.82
A000057,2023-12,483.89
A000057,2024-02,417.0
A000057,2024-05,173.4
A000057,2024-08,63.4
A000057,2024-09,-90.48
A000057,2024-11,-565.42
A000057,2025-02,-703.85
A000057,2025-03,-864.9
A000057,2025-06,-1579.6
A000057,2025-07,-1963.92
A000057,2025-08,-2032.78
A000057,2025-09,12.01
A000057,2025-10,-5.33
A000058,2024-03,-345.09
A000058,2024-05,-350.87
A000058,2024-06,-423.77
A000058,2024-07,109.23
A000058,2024-08,-25.45
A000058,2024-09,-125.5
A000058,2024-10,95.66
A000058,2024-11,23.73
A000058,2024-12,8.04
A000058,2025-01,-22.85
A000058,2025-02,-307.93
A000058,2025-03,-514.62
A000058,2025-05,-587.75
A000058,2025-06,-618.55
A000058,2025-07,-704.44
A000058,2025-08,-798.98
A000058,2025-09,-1013.93
A000058,2025-10,676.67
A000059,2023-07,-64.04
A000059,2023-10,1622.71
A000059,2023-12,1597.9
A000059,2024-01,1545.47
A000059,2024-03,1466.96
A000059,2024-06,1465.48
A000059,2024-08,1506.74
A000059,2024-11,1384.09
A000059,2025-05,1360.07
A000059,2025-08,1298.14
A000060,2024-06,-100.93
A000060,2024-07,-1716.98
A000060,2024-08,-1717.57
A000060,2024-09,-2080.3
A000060,2024-10,-2118.48
A000060,2024-11,-608.54
A000060,2024-12,-731.43
A000060,2025-01,841.87
A000060,2025-02,2580.3
A000060,2025-03,1612.22
A000060,2025-04,935.36
A000060,2025-05,2120.41
A000060,2025-06,1050.7
A000060,2025-07,248.62
A000060,2025-08,1455.55
A000060,2025-09,5789.65
A000060,2025-10,5763.78
A000061,2024-07,-73.44
A000061,2024-08,-115.11
A000061,2024-10,1954.07
A000061,2024-11,1927.8
A000061,2024-12,1888.99
A000061,2025-02,1851.89
A000061,2025-04,1818.84
A000061,2025-05,1782.02
A000061,2025-06,1700.97
A000061,2025-07,1622.37
A000061,2025-08,1129.36
A000061,2025-09,1014.6
A000062,2024-07,-219.09
A000062,2025-02,-260.27
A000062,2025-03,1316.12
A000062,2025-04,1278.34
A000062,2025-07,1242.62
A000063,2022-04,-30.5
A000063,2022-05,-362.35
A000063,2022-06,-551.13
A000063,2022-07,-671.34
A000063,2022-08,-744.66
A000063,2022-09,-861.53
A000063,2022-10,-981.1
A000063,2022-11,-1127.78
A000063,2022-12,-1165.56
A000063,2023-01,1195.87
A000063,2023-03,2277.45
