transaction_id,account_id,txn_date,category,channel,amount
T0000132,A000003,2025-08-05,Bill,POS,7.01
T0000133,A000003,2025-05-04,POS,Web,-66.33
T0000134,A000003,2025-08-17,POS,Mobile,11.02
T0000135,A000003,2025-10-06,Online,Mobile,-14.73
T0000136,A000003,2025-09-10,POS,Mobile,-33.37
T0000137,A000003,2025-06-29,Online,POS,-69.81
T0000138,A000003,2025-03-17,POS,Mobile,-60.17
T0000139,A000003,2025-09-24,Bill,Mobile,-21.17
T0000140,A000003,2025-06-29,ATM,Mobile,-68.47
T0000141,A000003,2025-04-22,Bill,Mobile,-36.06
T0000142,A000003,2025-05-21,POS,Web,-93.13
T0000143,A000003,2025-04-23,POS,Mobile,-84.59
T0000144,A000003,2025-09-14,Fee,Mobile,-10.0
T0000145,A000004,2025-04-03,Transfer,Mobile,-195.2
T0000146,A000004,2025-08-21,Salary,POS,1305.19
T0000147,A000004,2024-06-30,POS,Web,-20.82
T0000148,A000004,2025-03-05,Refund,Mobile,21.45
T0000149,A000004,2025-07-03,Salary,POS,2379.09
T0000150,A000005,2025-06-23,Bill,ATM,-147.0
T0000151,A000005,2025-10-01,Online,Web,-59.76
T0000152,A000005,2025-04-08,Salary,POS,2664.03
T0000153,A000005,2025-05-03,ATM,POS,-75.7
T0000154,A000005,2025-08-09,Bill,Mobile,-64.1
T0000155,A000005,2025-09-18,Online,Mobile,-15.15
T0000156,A000005,2025-06-13,POS,POS,-47.8
T0000157,A000005,2025-08-08,Online,Branch,-60.07
T0000158,A000005,2025-09-12,POS,Web,-96.4
T0000159,A000005,2025-04-27,POS,Mobile,-43.76
T0000160,A000005,2025-04-16,Online,Web,-20.85
T0000161,A000005,2025-08-13,POS,POS,-39.17
T0000162,A000005,2025-05-17,POS,POS,-14.28
T0000163,A000005,2025-08-29,Online,Mobile,-42.46
T0000164,A000005,2025-02-14,Online,Mobile,-58.16
T0000165,A000005,2025-03-16,Refund,Mobile,24.08
T0000166,A000005,2025-05-09,POS,Web,2.64
T0000167,A000005,2025-09-12,Salary,Mobile,1278.22
T0000168,A000005,2025-03-06,Online,Web,-24.39
T0000169,A000005,2025-02-13,Bill,Mobile,-59.06
T0000170,A000005,2025-10-03,ATM,Mobile,-51.18
T0000171,A000005,2025-05-15,Bill,POS,-70.81
T0000172,A000005,2025-05-06,POS,POS,-57.43
T0000173,A000005,2025-07-21,Online,POS,-60.33
T0000174,A000005,2025-02-19,Salary,Mobile,723.23
T0000175,A000005,2025-10-03,Bill,Mobile,19.69
T0000176,A000005,2025-05-17,Transfer,Branch,-313.87
T0000177,A000005,2025-09-26,Interest,Web,1.69
T0000178,A000005,2025-06-14,ATM,Mobile,-45.33
T0000179,A000005,2025-05-09,POS,POS,-16.4
T0000180,A000005,2025-02-09,Online,Mobile,-20.21
T0000181,A000005,2025-03-07,Transfer,Mobile,-3.4
T0000182,A000005,2025-05-21,POS,Web,-61.79
T0000183,A000005,2025-04-17,Online,Web,8.18
T0000184,A000005,2025-10-08,Online,Web,-81.65
T0000185,A000005,2025-03-28,Interest,Mobile,1.62
T0000186,A000005,2025-02-16,Transfer,Mobile,-401.45
T0000187,A000005,2025-07-02,Transfer,Mobile,-137.66
T0000188,A000005,2025-06-03,Online,Mobile,-45.36
T0000189,A000005,2025-07-10,POS,Mobile,-24.18
T0000190,A000005,2025-04-18,Online,Mobile,-23.5
T0000191,A000005,2025-02-05,POS,Mobile,-9.6
T0000192,A000005,2025-05-03,Transfer,POS,317.51
T0000193,A000005,2025-10-01,Transfer,Mobile,-110.07
T0000194,A000005,2025-02-11,POS,Web,-59.96
T0000195,A000005,2025-07-28,POS,Mobile,-62.3
T0000196,A000005,2025-08-21,Transfer,Mobile,-384.49
T0000197,A000005,2025-09-22,Online,Mobile,-42.95
T0000198,A000005,2025-03-13,Transfer,Mobile,-636.62
T0000199,A000005,2025-04-13,Transfer,POS,-335.87
T0000200,A000005,2025-05-23,Bill,Mobile,-98.83
T0000201,A000005,2025-09-12,Interest,Mobile,2.4
T0000202,A000005,2025-08-30,POS,POS,-26.62
T0000203,A000005,2025-02-13,Online,Mobile,25.55
T0000204,A000005,2025-08-05,POS,POS,-61.56
T0000205,A000005,2025-02-05,Transfer,POS,-178.25
T0000206,A000005,2025-07-08,Fee,Mobile,-15.0
T0000207,A000005,2025-08-13,Online,Mobile,-76.08
T0000208,A000005,2025-02-07,Interest,POS,2.95
T0000209,A000005,2025-04-18,POS,Mobile,-52.85
T0000210,A000005,2025-03-31,Salary,Web,1188.13
T0000211,A000005,2025-04-14,Transfer,Mobile,-292.48
T0000212,A000005,2025-09-05,Transfer,Mobile,-311.99
T0000213,A000005,2025-08-28,Online,POS,-81.44
T0000214,A000005,2025-08-08,Bill,Web,-82.8
T0000215,A000005,2025-10-03,ATM,Mobile,-75.3
T0000216,A000005,2025-06-24,Transfer,Web,-357.04
T0000217,A000005,2025-04-03,Bill,Mobile,-75.05
T0000218,A000005,2025-03-16,Online,Mobile,-41.54
T0000219,A000005,2025-04-09,POS,ATM,-46.67
T0000220,A000005,2025-06-17,POS,Mobile,-46.36
T0000221,A000005,2025-07-10,Bill,POS,-141.66
T0000222,A000005,2025-06-28,Online,Mobile,-16.0
T0000223,A000005,2025-07-31,POS,Mobile,-65.29
T0000224,A000005,2025-07-14,POS,Mobile,-41.78
T0000225,A000005,2025-04-09,POS,POS,-54.57
T0000226,A000005,2025-08-26,Online,Mobile,-56.72
T0000227,A000005,2025-03-02,Transfer,Web,-154.14
T0000228,A000005,2025-03-06,POS,Web,-31.44
T0000229,A000005,2025-09-28,Salary,Mobile,1822.01
T0000230,A000005,2025-04-29,POS,Branch,-19.53
T0000231,A000005,2025-07-12,POS,Mobile,-83.24
T0000232,A000005,2025-08-04,ATM,Mobile,-129.89
T0000233,A000005,2025-05-19,Online,Web,-42.16
T0000234,A000005,2025-05-26,Bill,Mobile,-80.24
T0000235,A000005,2025-04-24,Refund,Mobile,18.12
T0000236,A000005,2025-06-30,Refund,POS,35.9
T0000237,A000005,2025-10-09,POS,Web,-52.15
T0000238,A000005,2025-07-24,Fee,Mobile,-10.0
T0000239,A000005,2025-04-29,Online,Web,-11.9
T0000240,A000005,2025-07-24,Online,Mobile,-1.74
T0000241,A000005,2025-04-25,POS,Mobile,1.75
T0000242,A000005,2025-06-20,ATM,Mobile,-128.23
T0000243,A000005,2025-04-30,Refund,Web,7.7
T0000244,A000005,2025-03-08,Bill,Branch,-20.15
T0000245,A000005,2025-06-11,Transfer,Mobile,-112.31
T0000246,A000005,2025-08-28,POS,Mobile,-82.34
T0000247,A000005,2025-02-22,POS,Branch,-78.59
T0000248,A000005,2025-04-25,ATM,Web,-17.23
T0000249,A000005,2025-06-01,Online,Web,-80.33
T0000250,A000005,2025-09-07,POS,Web,62.98
T0000251,A000005,2025-05-04,Online,Mobile,-102.89
T0000252,A000005,2025-03-27,Online,Mobile,-40.21
T0000253,A000005,2025-05-27,POS,Web,-26.63
T0000254,A000005,2025-03-03,POS,Mobile,-74.36
T0000255,A000005,2025-02-07,Online,Web,-74.27
T0000256,A000005,2025-04-08,POS,Mobile,-24.07
T0000257,A000005,2025-09-27,Fee,Mobile,-15.0
T0000258,A000005,2025-03-04,Salary,Branch,2053.53
T0000259,A000005,2025-10-02,POS,Web,-40.2
T0000260,A000005,2025-07-03,Transfer,POS,-362.05
T0000261,A000005,2025-09-20,POS,Mobile,-29.73
T0000262,A000005,2025-03-16,Online,Web,-72.38
T0000263,A000005,2025-10-08,Online,Mobile,-45.19
T0000264,A000006,2025-06-22,Online,Mobile,-51.83
T0000265,A000006,2025-05-23,Online,POS,-23.54
T0000266,A000006,2025-02-23,Fee,Web,-5.0
T0000267,A000006,2025-07-16,POS,Branch,5.86
T0000268,A000006,2025-02-20,ATM,Branch,-31.84
T0000269,A000006,2025-03-17,Online,Mobile,-50.51
T0000270,A000006,2025-03-27,Transfer,Mobile,-474.5
T0000271,A000006,2025-09-04,Bill,Web,-85.95
T0000272,A000006,2025-07-07,POS,Mobile,-42.19
T0000273,A000006,2025-04-05,POS,Mobile,-56.96
T0000274,A000006,2025-05-11,Fee,Mobile,-5.0
T0000275,A000006,2025-05-01,Bill,Mobile,-55.69
T0000276,A000006,2025-02-22,Bill,Web,-107.94
T0000277,A000006,2025-06-21,Salary,Mobile,1681.61
T0000278,A000006,2025-03-27,Online,Mobile,3.55
T0000279,A000006,2025-05-10,POS,Web,-35.37
T0000280,A000006,2025-04-15,Online,Web,-8.19
T0000281,A000006,2025-08-29,Online,Web,-92.42
T0000282,A000006,2025-07-17,POS,Mobile,-52.28
T0000283,A000006,2025-03-25,Transfer,Mobile,-142.02
T0000284,A000006,2025-01-08,POS,POS,-58.05
T0000285,A000006,2025-08-20,POS,Branch,-1.79
T0000286,A000006,2025-03-29,POS,POS,-37.29
T0000287,A000006,2025-06-02,Online,POS,-41.47
T0000288,A000006,2025-08-10,POS,Web,-91.46
T0000289,A000006,2025-05-07,Transfer,Web,-138.25
T0000290,A000006,2025-02-05,POS,Web,-15.73
T0000291,A000006,2025-01-31,POS,Web,-44.98
T0000292,A000007,2025-03-05,Online,Mobile,-36.21
T0000293,A000007,2025-03-14,Online,Web,-81.05
T0000294,A000007,2025-02-14,ATM,Mobile,19.65
T0000295,A000007,2024-11-17,POS,POS,-33.21
T0000296,A000007,2024-12-12,POS,Mobile,-30.04
T0000297,A000007,2025-08-10,Refund,POS,45.07
T0000298,A000007,2025-03-25,Salary,ATM,2469.36
T0000299,A000007,2025-05-06,Online,POS,-81.69
T0000300,A000007,2025-04-04,Fee,POS,-15.0
T0000301,A000007,2024-12-17,Transfer,Web,-39.86
T0000302,A000007,2025-04-18,POS,Mobile,-55.11
T0000303,A000007,2025-09-13,ATM,Mobile,-37.08
T0000304,A000007,2025-08-04,POS,Web,-75.27
T0000305,A000007,2025-06-11,ATM,POS,-23.8
T0000306,A000007,2024-12-18,Online,Branch,-49.03
T0000307,A000007,2025-01-04,POS,ATM,-54.53
T0000308,A000007,2025-02-11,POS,Mobile,-41.5
T0000309,A000007,2025-01-02,Bill,ATM,-86.7
T0000310,A000007,2025-06-26,POS,Web,-57.65
T0000311,A000007,2025-06-12,POS,Mobile,-13.38
T0000312,A000007,2025-05-06,POS,Mobile,-23.98
T0000313,A000007,2025-10-08,Transfer,POS,-223.8
T0000314,A000007,2025-02-12,Online,Web,-47.27
T0000315,A000007,2024-11-16,Transfer,POS,-462.9
T0000316,A000007,2025-07-29,POS,Web,-79.57
T0000317,A000007,2025-09-27,Fee,Mobile,-5.0
T0000318,A000007,2025-01-25,POS,Mobile,-22.52
T0000319,A000007,2025-04-15,POS,Mobile,-44.35
T0000320,A000007,2025-03-20,POS,Web,4.23
T0000321,A000007,2024-12-09,Transfer,Web,-104.94
T0000322,A000007,2025-09-21,POS,POS,-27.71
T0000323,A000007,2025-04-01,POS,Mobile,-90.26
T0000324,A000007,2025-02-07,Bill,Mobile,-107.98
T0000325,A000007,2025-01-26,ATM,Mobile,-48.18
T0000326,A000007,2025-05-03,Salary,Mobile,1659.57
T0000327,A000007,2025-09-07,Online,Mobile,-101.35
T0000328,A000007,2025-04-23,POS,Web,-33.8
T0000329,A000007,2025-09-11,POS,Mobile,-73.69
T0000330,A000007,2024-12-01,Online,POS,-48.31
T0000331,A000007,2025-06-06,Bill,Mobile,-111.26
T0000332,A000007,2025-07-31,POS,ATM,-92.05
T0000333,A000007,2025-02-12,ATM,POS,-105.48
T0000334,A000007,2025-01-07,Transfer,Web,-79.74
T0000335,A000007,2025-01-04,Transfer,Mobile,-432.99
T0000336,A000007,2025-08-24,POS,Mobile,-5.49
T0000337,A000007,2025-07-22,Online,Mobile,-51.79
T0000338,A000007,2025-09-22,ATM,ATM,-11.91
T0000339,A000007,2025-01-28,Online,Mobile,17.27
T0000340,A000007,2025-03-08,Bill,POS,-78.94
T0000341,A000007,2025-01-03,Fee,Web,-15.0
T0000342,A000007,2025-09-23,Online,POS,-33.99
T0000343,A000007,2025-08-21,POS,Mobile,-44.15
T0000344,A000007,2025-03-30,Bill,Web,-78.91
T0000345,A000007,2025-06-25,Bill,Branch,-80.83
T0000346,A000007,2025-06-08,Interest,Mobile,3.18
T0000347,A000007,2024-11-30,Online,Mobile,-55.89
T0000348,A000007,2024-11-12,Bill,Mobile,-151.65
T0000349,A000007,2025-08-20,Bill,Mobile,-118.65
T0000350,A000008,2022-05-25,Online,Web,-71.12
T0000351,A000008,2025-08-12,POS,Mobile,-23.26
T0000352,A000008,2022-06-14,Fee,Mobile,-15.0
T0000353,A000008,2022-12-12,Online,Mobile,-31.55
T0000354,A000008,2025-04-18,POS,POS,-40.7
T0000355,A000008,2023-10-13,POS,Mobile,-18.85
T0000356,A000008,2024-09-21,Online,POS,-105.97
T0000357,A000008,2022-10-08,POS,POS,-80.77
T0000358,A000008,2023-09-15,Bill,Mobile,31.92
T0000359,A000008,2023-03-17,POS,POS,-73.17
T0000360,A000008,2024-10-15,ATM,POS,-40.51
T0000361,A000008,2023-05-27,Bill,Mobile,-98.06
T0000362,A000008,2023-02-23,ATM,POS,-61.61
T0000363,A000008,2024-04-06,Online,Mobile,-101.75
T0000364,A000008,2025-10-08,POS,Mobile,-61.57
T0000365,A000008,2024-01-30,POS,Web,-77.91
T0000366,A000008,2022-07-04,Salary,POS,2044.12
T0000367,A000008,2025-06-08,Salary,Mobile,2486.95
T0000368,A000008,2024-11-04,ATM,Branch,-62.53
T0000369,A000008,2025-03-07,Online,Web,-64.79
T0000370,A000008,2025-09-11,Fee,Mobile,-15.0
T0000371,A000008,2025-07-14,POS,Mobile,-44.63
T0000372,A000008,2024-05-29,POS,Web,-80.9
T0000373,A000008,2023-10-30,Fee,Web,-5.0
T0000374,A000008,2025-07-31,Online,Mobile,-20.12
T0000375,A000008,2024-04-05,Refund,Mobile,17.37
T0000376,A000008,2023-09-16,POS,Mobile,-51.65
T0000377,A000008,2022-11-12,Online,Web,-15.92
T0000378,A000008,2023-11-13,POS,Web,8.01
T0000379,A000008,2023-06-01,Bill,Branch,-133.21
T0000380,A000008,2025-04-10,POS,Web,-36.95
T0000381,A000008,2023-08-12,Fee,POS,-5.0
T0000382,A000008,2025-02-14,POS,Mobile,-69.68
T0000383,A000008,2023-07-14,POS,Mobile,-42.48
T0000384,A000008,2025-06-03,POS,Mobile,-63.02
T0000385,A000008,2024-03-16,ATM,Web,-66.31
T0000386,A000008,2024-03-07,POS,Mobile,-35.75
T0000387,A000008,2023-05-03,Salary,POS,3017.5
T0000388,A000008,2024-08-17,POS,Branch,-34.25
T0000389,A000008,2024-04-11,Online,Mobile,-18.34
T0000390,A000008,2025-09-17,Bill,ATM,0.35
T0000391,A000008,2025-06-13,POS,Branch,-76.93
T0000392,A000008,2023-02-22,Transfer,Web,-641.43
T0000393,A000008,2022-09-05,Online,POS,-100.73
T0000394,A000008,2023-03-17,Transfer,POS,-328.84
T0000395,A000008,2022-07-01,Transfer,POS,-497.73
T0000396,A000008,2024-04-16,Online,Web,-24.64
T0000397,A000008,2022-11-11,POS,Mobile,-18.57
T0000398,A000008,2022-11-29,Transfer,Mobile,-224.09
T0000399,A000008,2022-12-08,Refund,Mobile,17.03
T0000400,A000008,2023-02-01,POS,Web,-49.24
T0000401,A000008,2024-11-09,Salary,Web,1836.24
T0000402,A000008,2025-02-08,POS,Mobile,-11.69
T0000403,A000008,2024-10-19,Online,Mobile,-45.16
T0000404,A000008,2023-06-21,Transfer,Mobile,43.93
T0000405,A000009,2025-09-10,POS,POS,-40.84
T0000406,A000009,2025-07-27,Salary,Web,1226.29
T0000407,A000009,2023-12-10,POS,Mobile,-48.44
T0000408,A000009,2023-07-02,POS,POS,-42.48
T0000409,A000009,2023-04-23,Salary,Mobile,2137.37
T0000410,A000010,2024-12-08,Salary,POS,1776.19
T0000411,A000010,2025-09-18,Online,Mobile,-29.56
T0000412,A000010,2024-02-24,Transfer,Mobile,-135.63
T0000413,A000010,2025-07-27,POS,Web,-19.31
T0000414,A000010,2024-02-29,POS,POS,-57.29
T0000415,A000010,2025-05-13,Bill,Mobile,-105.59
T0000416,A000010,2025-08-13,Online,Mobile,-28.08
T0000417,A000010,2025-06-13,Salary,Mobile,2220.04
T0000418,A000010,2025-09-19,Online,Mobile,-97.06
T0000419,A000010,2023-07-13,Bill,Mobile,-43.62
T0000420,A000010,2024-07-18,Online,Mobile,-19.62
T0000421,A000010,2025-09-14,Transfer,Mobile,324.68
T0000422,A000010,2023-12-29,POS,Mobile,-86.56
T0000423,A000010,2025-05-21,POS,Mobile,16.73
T0000424,A000010,2025-04-27,Transfer,POS,-559.6
T0000425,A000010,2024-03-21,Salary,POS,1366.55
T0000426,A000010,2023-11-25,Transfer,POS,-90.33
T0000427,A000010,2024-09-18,POS,POS,-45.41
T0000428,A000010,2025-07-25,POS,Web,-56.4
T0000429,A000010,2024-05-18,POS,Mobile,-18.6
T0000430,A000010,2025-01-21,Refund,Branch,1.32
T0000431,A000010,2024-05-29,POS,POS,-55.97
T0000432,A000010,2024-05-08,Online,Web,-29.87
T0000433,A000010,2024-06-30,POS,Web,-49.57
T0000434,A000010,2024-01-01,ATM,Mobile,-85.63
T0000435,A000010,2023-11-05,POS,Web,-83.53
T0000436,A000010,2023-08-02,Transfer,Mobile,168.97
T0000437,A000010,2025-09-18,Bill,Mobile,-68.61
T0000438,A000010,2023-08-21,POS,POS,-94.47
T0000439,A000010,2024-04-21,Transfer,Mobile,-16.33
T0000440,A000010,2023-04-30,POS,Mobile,9.42
T0000441,A000010,2024-02-02,Bill,Mobile,-3.35
T0000442,A000010,2024-01-18,Online,Mobile,-8.62
T0000443,A000010,2025-09-19,Bill,ATM,-97.68
T0000444,A000010,2024-07-26,POS,Branch,-53.76
T0000445,A000010,2023-12-16,Salary,Mobile,1278.76
T0000446,A000010,2023-08-11,POS,Branch,-41.55
T0000447,A000010,2025-07-27,POS,Mobile,-60.59
T0000448,A000010,2024-07-18,Transfer,Web,-511.26
T0000449,A000010,2024-05-31,Online,Mobile,-56.42
T0000450,A000010,2023-04-29,POS,Mobile,-83.08
T0000451,A000010,2024-03-22,POS,Mobile,-49.58
T0000452,A000010,2024-01-02,Transfer,ATM,-286.5
T0000453,A000010,2023-06-30,Salary,Web,2064.68
T0000454,A000010,2023-08-01,ATM,ATM,-155.23
T0000455,A000010,2024-02-03,Bill,POS,-104.94
T0000456,A000010,2024-01-07,POS,Web,-65.1
T0000457,A000010,2023-12-01,Bill,POS,-65.99
T0000458,A000010,2025-05-15,Online,Mobile,-103.64
T0000459,A000010,2025-06-19,POS,POS,-7.59
T0000460,A000010,2024-02-23,POS,Web,-18.96
T0000461,A000010,2024-01-29,ATM,Branch,-8.34
T0000462,A000010,2024-05-27,Bill,Branch,-104.25
T0000463,A000010,2023-12-11,POS,ATM,-56.41
T0000464,A000010,2024-04-18,POS,Mobile,-69.5
T0000465,A000010,2024-11-01,Bill,Branch,-35.28
T0000466,A000010,2024-07-14,POS,Web,-95.0
T0000467,A000010,2024-03-03,Salary,POS,1442.19
T0000468,A000010,2023-07-13,Online,Web,-45.48
T0000469,A000010,2025-04-03,Salary,Mobile,1408.89
T0000470,A000010,2024-01-01,Salary,Web,2200.53
T0000471,A000010,2025-01-16,Online,POS,-55.18
T0000472,A000010,2024-09-17,Bill,Mobile,-82.07
T0000473,A000010,2024-09-24,ATM,Mobile,-36.91
T0000474,A000010,2023-08-29,Fee,ATM,-10.0
T0000475,A000010,2025-09-25,POS,Branch,-64.83
T0000476,A000010,2024-12-19,POS,Web,-60.87
T0000477,A000010,2025-06-06,Transfer,POS,-322.97
T0000478,A000010,2024-03-19,Online,Mobile,-42.53
T0000479,A000010,2023-08-11,Bill,Mobile,-98.47
T0000480,A000010,2024-12-02,Transfer,POS,-475.44
T0000481,A000010,2024-04-27,POS,Mobile,-45.45
T0000482,A000010,2023-07-14,POS,Web,-29.69
T0000483,A000010,2023-05-21,Online,Web,8.35
T0000484,A000010,2024-11-12,Transfer,Mobile,-248.33
T0000485,A000010,2024-11-15,POS,Mobile,-0.85
T0000486,A000010,2024-03-17,Transfer,POS,-523.74
T0000487,A000010,2023-12-14,Salary,POS,2110.18
T0000488,A000010,2024-04-13,Transfer,Branch,335.75
T0000489,A000010,2024-05-13,Bill,POS,-103.49
